item_pack_name_0	Ofertón: ¡Lote de Friskas!
slot_lastmessage	¡Resultado final!
slot_SNS_000	¡Conseguí %s de Friskas en las Tragagatos de #TheBattleCats!<br>#BattleCats
medal_txt1	%s
medal_txt2	Medallas recibidas: ¡%d!
medal_unknown	???<br>???
line_Confirmation	No tienes LINE instalado.<br>¿Quieres ir a la tienda?
talk_Reward	Has recibido esto: <flash>¡%@ x%@!</flash>
talk_000_push	Tengo que pedirte otro favor... (Ф∀Ф)✧
DL_permission	Se descargarán los datos de juego más recientes.<br>Te recomendamos conectarte a una red inalámbrica<br>estable antes de comenzar la instalación.<br>* Las opciones de idioma se encuentran en el menú de ajustes.<br>Quedan %s MB.
map_minutes	(Recuperando...) ¿Quieres usar ${itemNum} de gatamina [A]<br>para recuperar una oportunidad?<br><color=255,255,0>Oportunidades restantes: 0/${countNum} (Próxima recuperación en ${minutes1} min)</color>
assault_warning	Una vez que hayas superado la fase %d,<br>tendrás que esperar un poco antes de volver a intentarlo.
talk_001_push	¡Vuelve mañana!
slot_clearteam_txt_0	¿Quieres usar la formación de combate de tu última victoria?
slot_clearteam_txt_1	¡Se usarán los gatos de tu última victoria!
slot_clearteam_txt_2	<flash>¡Has cambiado a la formación de tu última victoria!</flash>
slot_clearteam_txt_3	No mostrar la opción de formación de la última victoria en la pantalla de equipo.
slot_clearteam_error	<color=255,255,0>No hay formaciones anteriores para esta fase.</color>
slot_copy_clearteam	Se copiará la formación de tu última victoria.<br>Elige el set en el que quieres guardar el equipo<br>y luego selecciona «Sustituir» para pegarlo.
slot_paste_clearteam	Los gatos actuales se sustituirán con<br>los de la última victoria. ¿Estás de acuerdo?
hidden_rarity_0	Fase inferior
hidden_rarity_1	Fase normal
hidden_rarity_2	Fase superior
drop_popup_hidden	<flash>Has descubierto esto:</flash> ¡%@!<br>¡Ve a la base gatuna para revelarlo!
hidden_hour	Tiempo restante para la descodificación: %d h %d min
hidden_minutes	Tiempo restante para la descodificación: %d min
unlock_popup_message_77	<flash>¡Ahora puedes descodificar mapas de enigma!</flash><br>Juega a las fases legendarias<br>y podrás conseguir enigmas como recompensa.
unlock_popup_message_78	<flash>¡Nuevo nivel!</flash><br>Has alcanzado el nivel <color=255,255,0>%d</color> de descodificación de enigmas.<br>¡Ahora podrás encontrar enigmas más raros!
enemy_name_unknown	[Desconocido]
nyancombo_overwrite_popup_title	¿Establecer gatocombo?
nyancombo_overwrite_popup_description	Toca el nombre del gatocombo para ver sus efectos.
000_gatya_rare.png	i000_gatya_rare_es.png
000_gatya_rare.imgcut	000_gatya_rare_es.imgcut
000_gatya.png	i000_gatya_es.png
000_gatya.imgcut	000_gatya_es.imgcut
003_gatya_tuika01.png	003_gatya_tuika01_es.png
003_gatya_tuika01.imgcut	003_gatya_tuika01_es.imgcut
002_bank.png	i002_bank_es.png
002_bank.imgcut	002_bank_es.imgcut
nekodojo_twitter	Mis gatos han conseguido %d puntos en el Dojo Afilagarras: %@.\n%@
nekodojo_facebook	Mis gatos han conseguido %d puntos en el Dojo Afilagarras: %@.\n%@
tower_twitter	¡Mis gatos han alcanzado el %@ de la Torre Celestial!
tower_facebook	¡Mis gatos han alcanzado el %@ de la Torre Celestial!
facebook_txt1	¡Mis gatos han conquistado %@!\n%@
twitter_txt1	¡Mis gatos han conquistado %@!
picBook_getCatFood1	¡%@ activado!
picBook_getCatFood2	¡Has ganado 5 Friskas!
challenge_twitter	¡Mis gatos han conseguido %d puntos en la batalla de desafío %@!
challenge_facebook	¡Mis gatos han conseguido %d puntos en la batalla de desafío %@! \n%@
ranking_twitter	¡Mis gatos han conseguido %d puntos en la fase clasificatoria %@! %@
ranking_facebook	¡Mis gatos han conseguido %d puntos en la fase clasificatoria %@! \n%@
app_name	The Battle Cats
review1	Si te gusta The Battle Cats,\n¡dale una valoración! ¡Gracias!
review2	Valorar ahora
review3	Más tarde
review4	No, gracias
appLovin_error0_txt	No se han encontrado vídeos...
appLovin_error1_txt	Prueba de nuevo.
appLovin_error2_txt	Comprueba tu conexión a internet y vuelve a intentarlo.
appLovin_error3_txt	Comprueba la memoria disponible y vuelve a intentarlo.
facebook_txt2	Superlogro alcanzado: ¡ganar un desafío en The Battle Cats!
facebook_txt3	¡Te recomiendo esta aplicación!\n* Código de invitación: %@ * Podrás introducirlo al terminar la fase 7 (Japón).\n%@
facebook_txt4	Unos gatos muy cuquis pero algo raritos la lían parda en el superéxito The Battle Cats. ¡Llévate un bonus de 10 000 XP!\nCódigo de invitación del Dúo Vaina: %@\n* Podrás introducirlo al terminar la fase 7 (Japón).
twitter_txt2	Superlogro alcanzado: ¡ganar un desafío en The Battle Cats!
twitter_txt3	¡Te recomiendo esta aplicación!\n* Código de invitación: %@ * Podrás introducirlo al terminar la fase 7 (Japón).
twitter_txt4	Unos gatos muy cuquis pero algo raritos la lían parda en el superéxito The Battle Cats. ¡Consigue un bonus de 10 000 XP al utilizar este código de invitación!\nCódigo de invitación del Dúo Vaina: %@\n* Podrás introducirlo al terminar la fase 7 (Japón).
line_txt1	Superlogro alcanzado: ¡ganar un desafío en The Battle Cats!\n¡Esta aplicación es increíble! ¡Gana 10 000 XP con un código de invitación!\n* Código de invitación: %@ * Podrás introducirlo al terminar la fase 7 (Japón).\n%@
line_txt2	Superlogro alcanzado: ¡ganar un desafío en The Battle Cats!\n¡Esta aplicación es increíble! ¡Gana 10 000 XP con un código de invitación!\n* Código de invitación: %@ * Podrás introducirlo al terminar la fase 7 (Japón).\n%@
line_txt3	¡Enamórate de la extraña fantasía de The Battle Cats!\nCódigo de invitación de Moneko: %@ * Podrás introducirlo al terminar la fase 7 (Japón).\n%@
line_txt4	¡Enamórate de la extraña fantasía de The Battle Cats!\nCódigo de invitación de Dúo Vaina: %@ * Podrás introducirlo al terminar la fase 7 (Japón).\n%@
kakao_txt1	dummy
kakao_txt2	dummy
kakao_txt3	dummy
err_txt1	Se ha detectado actividad no autorizada (A).
err_txt2	Se ha detectado actividad no autorizada (B).
err_txt3	Se ha detectado actividad no autorizada (C).
err_txt4	Se ha detectado actividad no autorizada (D).
err_txt5	Se ha detectado actividad no autorizada (E).
err_txt6	Se ha detectado actividad no autorizada (F).
kerihime_txt1	dummy
kerihime_txt2	dummy
kerihime_txt3	dummy
kerihime_txt4	dummy
kerihime_txt5	dummy
kerihime_txt6	dummy
kerihime_txt7	dummy
kerihime_txt8	dummy
kerihime_txt9	dummy
kerihime_txt11	dummy
kerihime_txt12	dummy
kerihime_txt13	dummy
kerihime_txt21	dummy
kerihime_txt22	dummy
kerihime_txt23	dummy
kerihime_tw49	dummy
kerihime_tw50	dummy
kerihime_fa49	dummy
kerihime_fa50	dummy
manbo_scheme	jp.selectbutton.manbotheworld://collaboration/nyanko1
manbo_url	https://itunes.apple.com/us/app/survive!-mola-mola!/id915222954?l=en&ls=1&mt=8
manbo_txt11	Puedes conseguir\nregalos especiales de\nMola Mola jugando a\n¡Sobrevive! Mola Mola.\n¿Quieres abrir la aplicación?
manbo_txt12	Se cancelará el regalo de Mola Mola.\n¿Estás de acuerdo?\n* Para intentar conseguirlo\nde nuevo una vez cancelado,\nvuelve a superar esta fase.
manbo_txt13	No se ha encontrado la aplicación.\n¿Quieres descargar ¡Sobrevive! Mola Mola\nde la tienda?
manbo_txt14	¡Hazte con premios para utilizarlos en ¡Sobrevive! Mola Mola!
manbo_txt15	¿Quieres abrir la aplicación de ¡Sobrevive! Mola Mola?
manbo_txt16	Si no la tienes instalada, se te dirigirá a la página de la tienda.
appstore_txt1	¡Mira qué gatos tan cuquis en este sencillo juego!\nIntroduce el código de invitación al terminar la fase 7 (Japón) para conseguir un bonus de 10 000 XP.\n* Código de invitación: %@\n¡HAZTE CON TODOS LOS GATOS!
iosver_error	Actualiza tu versión de iOS.
limited_function	No disponible
model_conversion2	Transferir
noapp_kakao	Tienes que instalar la aplicación KakaoTalk.
noapp_line	Tienes que instalar la aplicación LINE.
store_url	https://itunes.apple.com/us/app/the-battle-cats/id850057092?l=en&ls=1&mt=8
url_abbr	https://ponos.s3.amazonaws.com/iphone/en/battlecats.html
img026.png	img026_es.png
img026.imgcut	img026_es.imgcut
img038.png	img038_es.png
img038.imgcut	img038_es.imgcut
ec000.png	ec000_es.png
ec000.imgcut	ec000_es.imgcut
ec001.png	ec001_es.png
ec001.imgcut	ec001_es.imgcut
ec002.png	ec002_es.png
ec002.imgcut	ec002_es.imgcut
ec003.png	ec003_es.png
ec003.imgcut	ec003_es.imgcut
ec004.png	ec004_es.png
ec004.imgcut	ec004_es.imgcut
ec005.png	ec005_es.png
ec005.imgcut	ec005_es.imgcut
ec006.png	ec006_es.png
ec006.imgcut	ec006_es.imgcut
ec007.png	ec007_es.png
ec007.imgcut	ec007_es.imgcut
ec008.png	ec008_es.png
ec008.imgcut	ec008_es.imgcut
ec009.png	ec009_es.png
ec009.imgcut	ec009_es.imgcut
ec010.png	ec010_es.png
ec010.imgcut	ec010_es.imgcut
ec011.png	ec011_es.png
ec011.imgcut	ec011_es.imgcut
ec012.png	ec012_es.png
ec012.imgcut	ec012_es.imgcut
ec013.png	ec013_es.png
ec013.imgcut	ec013_es.imgcut
ec014.png	ec014_es.png
ec014.imgcut	ec014_es.imgcut
ec015.png	ec015_es.png
ec015.imgcut	ec015_es.imgcut
ec016.png	ec016_es.png
ec016.imgcut	ec016_es.imgcut
ec017.png	ec017_es.png
ec017.imgcut	ec017_es.imgcut
ec018.png	ec018_es.png
ec018.imgcut	ec018_es.imgcut
ec019.png	ec019_es.png
ec019.imgcut	ec019_es.imgcut
ec020.png	ec020_es.png
ec020.imgcut	ec020_es.imgcut
ec021.png	ec021_es.png
ec021.imgcut	ec021_es.imgcut
ec022.png	ec022_es.png
ec022.imgcut	ec022_es.imgcut
ec023.png	ec023_es.png
ec023.imgcut	ec023_es.imgcut
ec024.png	ec024_es.png
ec024.imgcut	ec024_es.imgcut
ec025.png	ec025_es.png
ec025.imgcut	ec025_es.imgcut
ec026.png	ec026_es.png
ec026.imgcut	ec026_es.imgcut
ec027.png	ec027_es.png
ec027.imgcut	ec027_es.imgcut
ec028.png	ec028_es.png
ec028.imgcut	ec028_es.imgcut
ec029.png	ec029_es.png
ec029.imgcut	ec029_es.imgcut
ec030.png	ec030_es.png
ec030.imgcut	ec030_es.imgcut
ec031.png	ec031_es.png
ec031.imgcut	ec031_es.imgcut
ec032.png	ec032_es.png
ec032.imgcut	ec032_es.imgcut
ec033.png	ec033_es.png
ec033.imgcut	ec033_es.imgcut
ec034.png	ec034_es.png
ec034.imgcut	ec034_es.imgcut
ec035.png	ec035_es.png
ec035.imgcut	ec035_es.imgcut
ec036.png	ec036_es.png
ec036.imgcut	ec036_es.imgcut
ec037.png	ec037_es.png
ec037.imgcut	ec037_es.imgcut
ec038.png	ec038_es.png
ec038.imgcut	ec038_es.imgcut
ec039.png	ec039_es.png
ec039.imgcut	ec039_es.imgcut
ec040.png	ec040_es.png
ec040.imgcut	ec040_es.imgcut
ec041.png	ec041_es.png
ec041.imgcut	ec041_es.imgcut
ec042.png	ec042_es.png
ec042.imgcut	ec042_es.imgcut
ec043.png	ec043_es.png
ec043.imgcut	ec043_es.imgcut
ec044.png	ec044_es.png
ec044.imgcut	ec044_es.imgcut
ec045.png	ec045_es.png
ec045.imgcut	ec045_es.imgcut
ec046.png	ec046_es.png
ec046.imgcut	ec046_es.imgcut
img007.png	img007_es.png
img007.imgcut	img007_es.imgcut
img009_3.png	img009_3_es.png
img009_3.imgcut	img009_3_es.imgcut
img009_4.png	img009_4_es.png
img009_4.imgcut	img009_4_es.imgcut
img009_5.png	img009_5_es.png
img009_5.imgcut	img009_5_es.imgcut
img009_6.png	img009_6_es.png
img009_6.imgcut	img009_6_es.imgcut
img013.png	img013_es.png
img013.imgcut	img013_es.imgcut
img017.png	img017_es.png
img017.imgcut	img017_es.imgcut
img018.png	img018_es.png
img018.imgcut	img018_es.imgcut
img030.png	img030_es.png
img030.imgcut	img030_es.imgcut
img035.png	img035_es.png
img035.imgcut	img035_es.imgcut
img036.png	img036_es.png
img036.imgcut	img036_es.imgcut
img050.png	img050_es.png
img050.imgcut	img050_es.imgcut
img101.png	img101_es.png
img101.imgcut	img101_es.imgcut
img102.png	img102_es.png
img102.imgcut	img102_es.imgcut
ot000_c.png	ot000_c_es.png
ot000_c.imgcut	ot000_c_es.imgcut
ot000_o.png	ot000_o_es.png
ot000_o.imgcut	ot000_o_es.imgcut
ot001_c.png	ot001_c_es.png
ot001_c.imgcut	ot001_c_es.imgcut
ot001_o.png	ot001_o_es.png
ot001_o.imgcut	ot001_o_es.imgcut
ot002_c.png	ot002_c_es.png
ot002_c.imgcut	ot002_c_es.imgcut
ot002_o.png	ot002_o_es.png
ot002_o.imgcut	ot002_o_es.imgcut
ot003_c.png	ot003_c_es.png
ot003_c.imgcut	ot003_c_es.imgcut
ot003_o.png	ot003_o_es.png
ot003_o.imgcut	ot003_o_es.imgcut
ot004_c.png	ot004_c_es.png
ot004_c.imgcut	ot004_c_es.imgcut
ot004_o.png	ot004_o_es.png
ot004_o.imgcut	ot004_o_es.imgcut
ot005_c.png	ot005_c_es.png
ot005_c.imgcut	ot005_c_es.imgcut
ot005_o.png	ot005_o_es.png
ot005_o.imgcut	ot005_o_es.imgcut
ot006_c.png	ot006_c_es.png
ot006_c.imgcut	ot006_c_es.imgcut
ot006_o.png	ot006_o_es.png
ot006_o.imgcut	ot006_o_es.imgcut
ot007_c.png	ot007_c_es.png
ot007_c.imgcut	ot007_c_es.imgcut
ot007_o.png	ot007_o_es.png
ot007_o.imgcut	ot007_o_es.imgcut
ot008_c.png	ot008_c_es.png
ot008_c.imgcut	ot008_c_es.imgcut
ot008_o.png	ot008_o_es.png
ot008_o.imgcut	ot008_o_es.imgcut
ot009_c.png	ot009_c_es.png
ot009_c.imgcut	ot009_c_es.imgcut
ot009_o.png	ot009_o_es.png
ot009_o.imgcut	ot009_o_es.imgcut
ot010_c.png	ot010_c_es.png
ot010_c.imgcut	ot010_c_es.imgcut
ot010_o.png	ot010_o_es.png
ot010_o.imgcut	ot010_o_es.imgcut
ot011_c.png	ot011_c_es.png
ot011_c.imgcut	ot011_c_es.imgcut
000_img013.imgcut	i000_img013_es.imgcut
terms_network_unavailable	Error de conexión<br>Comprueba tu conexión a internet y vuelve a intentarlo.
item_pack_name_21	Lote de agradecimiento
item_pack_name_22	Compra 1 tique de platino, ¡solo ahora!
zombie_sns	¡Mi ejército felino ha salvado %@ de una invasión zombi! %s %s
Invasion_sns	¡Mi ejército felino ha salvado la galaxia de una poderosa amenaza! %s %s
item_pack_name_23	Superlote de inicio
item_pack_name_24	Megalote de inicio
item_pack_name_25	Hiperlote de inicio
item_pack_name_26	Oferta de campeones
talk_002_push	¡Oye! ¡Ven a la base gatuna, que tenemos noticias!
equipment_unworn	Se equipará el orbe de talento que tengas en el almacén.
equipment_confirm	¿Equipar a "${characterName}"<br>con "${equipmentName}"?<br>${faultMessage}
release_confirm	¿Quieres usar NP para desequipar <br>%@? (%d → <color=255,255,0>%d</color>)<br>También puedes sobrescribir<br>el talento que ya está equipado.
release_error	No tienes suficiente NP.<br>Necesitas %d NP.
composition_confirm	¿Quieres combinar %@ x%d para<br>aumentar el nivel del talento? (%@ → <color=255,255,0>%@</color>)
composition_error	Necesitas %d de este orbe para combinarlo.<br>¡%d más!
composition_finish	¡Lo has combinado!<br>Has conseguido esto: ¡%@!
composition_limit	Nivel máximo alcanzado.<br>En la versión actual ya no puedes combinar.
overwrite_confirm	¿Quieres sobrescribir el orbe de talento equipado<br>con este: %@?<br><color=255,255,0>El orbe actual (%@) se destruirá.</color>
overwrite_remind	<color=255,255,0>El orbe equipado (%@)<br>se destruirá. ¿Quieres continuar?</color>
exchange_all_equip_np	Los orbes del almacén se cambiarán por NP.<br>¿Quieres continuar? (%d → <color=255,255,0>%d</color>)
equipment_drop	${rewardName}<br><color=255,255,0>Orbe de talento:</color> ${equipmentName} +${equipmentNum}<br>${itemPossession}
equipment_limit	El almacén de orbes de talento está lleno.<br>Combina orbes o cámbialos por NP<br>para hacer sitio.<br>
potential_name	Talento 
potential_storge	Orbes en el almacén: %d
slotunlock_medal_txt1	No se han cumplido las condiciones para desbloquear.<br>Necesitas %d miaudallas.
item_pack_name_27	Unidad exclusiva: ¡Gatobola Mortal!
unlock_popup_message_79	<flash>Filtro de recomendaciones desbloqueado</flash><br>Toca el botón que aparece en<br>la sección de fases legendarias o fases especiales<br>para ver las fases que no has superado<br>y que se ajustan a tu nivel actual.
filterstage_txt1	Filtro de recomendaciones<br>Al tocar el botón, verás solo los mapas<br>no superados que se recomiendan para ti.
slotunlock_number_txt1	¡Set de formación de combate %d desbloqueado!
scheme_popup_77	<flash>Gracias por responder a la encuesta.<br>Disfruta de este premio: ¡%@ x%@!</flash>
zombie_talk_0	¡Hay un brote zombi en <br><flash>%s</flash>!
zombie_talk_1	¡Brote zombi en<br><flash>%s</flash>!
chapter_name_0	Imperio de los Gatos (cap. 1)
chapter_name_1	Imperio de los Gatos (cap. 2)
chapter_name_2	Imperio de los Gatos (cap. 3)
chapter_name_4	Hacia el Futuro (cap. 1)
chapter_name_5	Hacia el Futuro (cap. 2)
chapter_name_6	Hacia el Futuro (cap. 3)
chapter_name_7	Gatos Galácticos (Capítulo 1)
unlock_popup_message_80	<flash>Fase de gatamina desbloqueada: ¡Ascendente Clionel!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_81	<flash>Fase de gatamina desbloqueada: ¡Río Estigia!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_82	<flash>Fase de gatamina desbloqueada: ¡Coronación de Reina!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_83	<flash>Fase de gatamina desbloqueada: ¡Difunto Debutante!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_84	<flash>Fase de gatamina desbloqueada: ¡Venganza del Rey Guau!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_85	<flash>Fase de gatamina desbloqueada: ¡Sueño Profundo!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_86	<flash>Fase de gatamina desbloqueada: ¡Catástrofe Carmesí!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_87	<flash>Fase de gatamina desbloqueada: ¡Paraíso de Oscuridad!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_88	<flash>Fase de gatamina desbloqueada: ¡Inigualable!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_89	<flash>Fase de gatamina desbloqueada: ¡Ira de los Cielos!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_90	<flash>Fase de gatamina desbloqueada: ¡Dulce Ironía!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_91	<flash>Fase de gatamina desbloqueada: ¡Dimensión Desesperada!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_92	<flash>Fase de gatamina desbloqueada: ¡Gato Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_93	<flash>Fase de gatamina desbloqueada: ¡Gato Defensor Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_94	<flash>Fase de gatamina desbloqueada: ¡Gato Hachero Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_95	<flash>Fase de gatamina desbloqueada: ¡Gatilargo Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_96	<flash>Fase de gatamina desbloqueada: ¡Gato Lechero Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_97	<flash>Fase de gatamina desbloqueada: ¡Gato Pájaro Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_98	<flash>Fase de gatamina desbloqueada: ¡Piscigato Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_99	<flash>Fase de gatamina desbloqueada: ¡Gato Lagarto Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlock_popup_message_100	<flash>Fase de gatamina desbloqueada: ¡Gato Titán Demente!</flash><br>* Usa gataminas cuando quieras durante la fase.
unlockpopup_Guide_1	Consulta el menú de ayuda para saber más.
jinja_saisen00	¿Quieres ofrecer 100 000 XP por una bendición<br>de materiales de construcción para la base?
jinja_saisen01	¿Quieres ofrecer 1 M XP por una bendición<br>de frutas felinas?
jinja_saisen02	¿Quieres ofrecer 3 M XP por una bendición<br>de gatojos?
jinja_saisen03	¿Quieres ofrecer 5 M XP por una bendición<br>de un glorioso premio sorpresa?
jinja_lock00	Te falta XP...<br>* Consigue más superando fases<br>o comprando lotes en la tienda.
jinja_lock01	Se han agotado los premios...
jinja_lock02	El templo ha desaparecido en la niebla...
jinja_itemget	¡Recibes %@!
legend_warning	<color=255,255,0>Requisitos del desafío<br>Supera todos los niveles de coronas de todas las fases legendarias.</color>
item_pack_name_28	Compra la unidad exclusiva: Huevo de Minigatíclope
jinja_levelup_popup	<flash>¡Subida de nivel!</flash><br>El templo felino ahora es de nivel %d.<br>
gamatotoReward_1_2	¡Gran fortuna concedida!
talk_003_push	
jinja_omikuji00	¿Quieres ofrecer 5 XP por un presagio?
omikuji_lock00	Te falta XP...<br>* Consigue más superando fases<br>o comprándola en la tienda.
omikuji_lock01	La caja de presagios está vacía...
gama_jinja_00_popup	<flash>¡Gana bonus con los presagios!</flash><br>Inari, sierva del Misidiós,<br>se ha unido temporalmente al equipo de Gamatoto.<br>Aumentarán los premios de una sola excursión.<br>* No se aplica a los premios de Friskas.
gama_jinja_00_name	Inari
gama_jinja_00_charatext	¡La fiel sierva del Misidiós viene a<br>ayudar a Gamatoto por tiempo limitado!<br>Aumenta los premios obtenidos en una sola excursión.<br>* No se aplica a los premios de Friskas.
item_pack_name_29	Oferta exclusiva: Tique legendario
omikuji_fortune00	Deseos: 
omikuji_fortune01	Estudios: 
omikuji_fortune02	Visita: 
omikuji_fortune03	Trabajo: 
omikuji_fortune04	Objeto perdido: 
omikuji_fortune05	Dinero: 
omikuji_fortune06	Viajes: 
omikuji_fortune07	Rivalidad: 
omikuji_fortune08	Salud: 
omikuji_fortune09	Amor: 
omikuji_outlook	<color=255,255,0>Pronóstico: </color>
gatyadata_error_popup	Gatobolas no disponibles.
htmldata_error_popup	No se puede mostrar la página.
gama_jinja_00_gohome	Inari ha regresado al reino del Misidiós.
gama_collabo_03_popup	<flash>Hatsune Miku Collab!</flash><br>Snow Miku's loyal pet "Rabbit Yukine"<br>appears to help the Gamatoto crew!<br>While they are here, Gamatoto rewards increase!<br>※ Cat Food excluded.
gama_collabo_03_name	Rabbit Yukine
gama_collabo_03_charatext	Snow Miku's loyal pet "Rabbit Yukine"<br>appears to help the Gamatoto crew!<br>While they are here, Gamatoto rewards increase!<br>※ Cat Food excluded.
gamestop_device	Estos datos de guardado están activos en otro dispositivo,\npor lo que no se pueden utilizar aquí.\nSi quieres jugar en este dispositivo,\nreinstala la aplicación y empieza de nuevo.
item_pack_name_32	Oferta de apoyo: ¡3 h de gatos ricachones infinitos!
item_pack_name_33	Oferta de apoyo: ¡3 h de gatomáticos infinitos!
item_pack_name_34	Oferta de apoyo: ¡3 h de gatotiradores infinitos!
otasuke_sale2	¡Gatos ricachones infinitos durante 3 horas!<br>
otasuke_sale3	¡Gatomáticos infinitos durante 3 horas!<br>
otasuke_sale5	¡Gatotiradores infinitos durante 3 horas!<br>
GiftMessage_019	<flash>Premio 8 por superar la fase</flash><br>Supera la última fase en Laberinto del Bosque Viejo<br>y tendrás una pequeña probabilidad de desbloquear<br>la unidad especial Máscara Doron Viejuna.
save_failed1	No hay suficiente espacio de almacenamiento. No se pueden guardar los datos.
save_failed2	No hay suficiente espacio de almacenamiento. No se pueden guardar los datos.
comeback_stamp_push01	¿Has recogido tu sello de regreso de hoy? ¡Llévate un montón de XP de bonus!
comeback_stamp_push02	¡Recoge tu sello de regreso cada día y podrás llevarte 3 tiques gatunos!
comeback_stamp_push03	¿Has recogido tu sello de regreso de hoy? ¡Cuando recojas el séptimo, te llevarás 2 tiques raros!
item_pack_name_36	Oferta de potenciadores de bronce: ¡Friskas y lote de objetos!
item_pack_name_37	Oferta de potenciadores de plata: ¡Friskas y lote de objetos!
item_pack_name_38	Oferta de potenciadores de oro: ¡Friskas y lote de objetos!
item_conversion	Fragmentos de platino x%d intercambiados<br>por <flash>tique de platino x%d</flash>
fragment_message	Cambia 10 fragmentos de platino<br>por 1 tique de platino.<br>Fragmentos que tienes: %d
fragment_bonus	¡Obtén un fragmento de platino de regalo<br>al abrir ${gatyaNumber} bolas de una vez!<br>¡Cambia 10 fragmentos de platino<br>por 1 <flash>tique de platino</flash>!
applang	en
equipment_error	Este talento solo se puede usar si la unidad<br>ya tiene la habilidad «%@: %@».
scratch_message	Has ganado esto: ¡%s x%d!
scratch_SNS_000	¡He ganado %d Friskas en #BattleCatsScratcher!<br>Prueba suerte una vez a la semana y podrás llevarte un premio increíble.<br><br>#TheBattleCats
item_pack_name_39	Lote de fiesta
potential_skill_name57	Objetivo: aku
assault_skip	【Recuperación casi terminada...】<br><flash>¡Ya has recuperado una oportunidad!</flash><br>¡Pronto podrás enfrentarte a más fases!<br><color=255,255,0>Oportunidades disponibles: 1/${countNum} ${assaultWord}</color>
assault_word	(Recuperación completa en ${minutes2} min)
potential_skill_name58	Atravesar escudos
potential_skill_name59	Directo al alma
potential_skill_name60	Maldición
demon_error_popup	<color=255,255,0>Aún no puedes enfrentarte a esta fase.</color>
demon_timelimit	Tiempo restante: %d:%02d:%02d
sealed_announce	Sellado por el poder del altar de akus<br>Límite actual: nivel %d
sealed_release	¡El altar de akus ha sido destruido y se han restaurado algunos niveles!<br><flash>Límite actual: nivel %d</flash>
sealed_information	Sientes el poder del altar de akus...<br><color=255,255,0>Límite actual: nivel %d</color>
unlock_popup_message_101	<flash>¡Llegan los altares de akus!</flash><br>Has completado tu investigación y se han abierto las Puertas de Akus.<br>Visita el Imperio de los Gatos para adentrarte en este reino oscuro...
unlock_popup_message_102	<flash>¡El ejército felino ha vencido al Sacerdote Babón!</flash><br>Pero eso no ha detenido el regreso del Señor de la Ruina...
unlock_popup_message_103	<flash>¡Bonus por superar la fase!</flash><br>Has desbloqueado esta unidad especial: ¡%@!<br>Actívala en el menú «Mejorar».
unlock_popup_message_104	<flash>¡Altar de akus destruido!</flash><br>Se han restaurado los niveles extras de tus gatos.
demon_return_title	¡Tienes premios sin recoger!<br>Visita la base gatuna para recogerlos.<br>Volviendo a la pantalla de título...
demon_return_select	¡Tienes premios sin recoger!<br>Visita la base gatuna para recogerlos.<br>Volviendo a la base gatuna...
stage_restriction_charagroup_5	Unidades de la Gatacademia de Latidos
stage_restriction_charagroup_6	Unidades insectos de Gatos Estivales
scheme_item_param_87	nyanko9_en1
scheme_popup_87	Battle Cats Quest<br>Collab Mission Reward 1<br><flash>You got %@ x%@!</flash>
scheme_item_param_88	nyanko9_en2
scheme_popup_88	Battle Cats Quest<br>Collab Mission Reward 2<br><flash>You got %@ x%@!</flash>
scheme_item_param_89	nyanko9_en3
scheme_popup_89	Battle Cats Quest<br>Collab Mission Reward 3<br><flash>You got %@ x%@!</flash>
scheme_item_param_90	nyanko9_en4
scheme_popup_90	Battle Cats Quest<br>Collab Mission Reward 4<br><flash>You got %@ x%@!</flash>
scheme_item_param_91	nyanko9_en5
scheme_popup_91	Battle Cats Quest<br>Collab Mission Reward 5<br><flash>You got %@ x%@!</flash>
settlement_error	Pago incompleto.\nEl objeto se entregará una vez completado el pago.
tower_sns_006	¡Mi ejército felino ha invadido el piso %@ de la Torre Infernal! %s %s
scheme_item_param_96	
