item_pack_name_0	Promo booster : pack de Miam !
line_Confirmation	LINE n’est pas installé.<br>Aller dans la boutique d’applis ?
talk_Reward	Tu as reçu %@ <flash>x%@</flash> !
talk_000_push	J’ai encore un petit service à te demander... (Ф∀Ф)✧
DL_permission	Les données de jeu les plus récentes seront téléchargées.<br>Nous te conseillons de te connecter<br>à un réseau WiFi stable avant de commencer l’installation.<br>* Les options de langue se trouvent dans le menu Paramètres.<br>Téléchargement restant : %s Mo
map_minutes	【Récupération...】Utiliser ${itemNum} vichamine A<br>pour avoir une nouvelle chance ?<br><color=255,255,0>0/${countNum} chances restantes. (récupération d'1 chance dans ${minutes1} min.)</color>
assault_warning	Après avoir terminé %d niveau(x), tu dois attendre<br>un peu avant d’essayer à nouveau.
talk_001_push	Reviens demain !
slot_clearteam_txt_0	Utiliser la formation de ta dernière victoire ?
slot_clearteam_txt_1	Les Chats de ta dernière victoire sont en place !
slot_clearteam_txt_2	<flash>Tu as choisi la formation de ta dernière victoire !</flash>
slot_clearteam_txt_3	Ne pas afficher « Utiliser formation dernière victoire » sur l'écran Organiser.
slot_clearteam_error	<color=255,255,0>Aucune formation enregistrée pour ce niveau.</color>
slot_copy_clearteam	La formation de ta dernière victoire sera copiée.<br>Rends-toi à l’emplacement voulu pour enregistrer cette équipe,<br>puis sélectionne Remplacer pour la coller.
slot_paste_clearteam	Tes Chats actuels vont être remplacés par<br>les Chats de ta dernière victoire. OK ?
hidden_rarity_0	Niveau inférieur
hidden_rarity_1	Niveau normal
hidden_rarity_2	Niveau supérieur
drop_popup_hidden	<flash>Découverte</flash> de %@ !<br>Jettes-y un œil dans la base féline !
hidden_hour	%d h %d min avant la fin du déchiffrage !
hidden_minutes	%d min avant la fin du déchiffrage !
unlock_popup_message_77	<flash>Tu peux maintenant déchiffrer des cartes énigme !</flash><br>Accède aux Histoires légendaires pour obtenir occasionnellement<br>des énigmes en récompense !
unlock_popup_message_78	<flash>Gain de niveau !</flash><br>Ton niveau de déchiffrage d’énigme est maintenant à <color=255,255,0>%d</color> !<br>Tu peux découvrir encore plus d’énigmes rares !
enemy_name_unknown	[Non identifié]
nyancombo_overwrite_popup_title	Définir un combo félin ?
nyancombo_overwrite_popup_description	Touche le nom d’un combo félin pour voir son effet !
000_gatya_rare.png	i000_gatya_rare_fr.png
000_gatya_rare.imgcut	000_gatya_rare_fr.imgcut
000_gatya.png	i000_gatya_fr.png
000_gatya.imgcut	000_gatya_fr.imgcut
003_gatya_tuika01.png	003_gatya_tuika01_fr.png
003_gatya_tuika01.imgcut	003_gatya_tuika01_fr.imgcut
002_bank.png	i002_bank_fr.png
002_bank.imgcut	002_bank_fr.imgcut
nekodojo_twitter	Mes Battle Cats ont marqué %d pts au Dojo Griffélin : %@ !\n%@
nekodojo_facebook	Mes Battle Cats ont marqué %d pts au Dojo Griffélin : %@ !\n%@
tower_twitter	Mes Battle Cats ont atteint le %@ dans la Tour Céleste !
tower_facebook	Mes Battle Cats ont atteint le %@ dans la Tour Céleste !
facebook_txt1	Mes Battle Cats ont conquis %@ !\n%@
twitter_txt1	Mes Battle Cats ont conquis %@ !
picBook_getCatFood1	Déblocage de %@ !
picBook_getCatFood2	Tu as reçu 5 Miam !
challenge_twitter	Mes Battle Cats ont marqué %d pts dans %@ dans la bataille défi !
challenge_facebook	Mes Battle Cats ont marqué %d pts dans %@ dans la bataille défi !\n %@
ranking_twitter	Mes Battle Cats ont marqué %d pts dans %@ dans les Niveaux classés ! %@
ranking_facebook	Mes Battle Cats ont marqué %d pts dans %@ dans les Niveaux classés !\n %@
app_name	The Battle Cats
review1	Si tu aimes The Battle Cats,\névalue le jeu ! Merci !
review2	Évaluer
review3	Peut-être plus tard
review4	Non merci
appLovin_error0_txt	Aucune vidéo trouvée.
appLovin_error1_txt	Réessaie.
appLovin_error2_txt	Vérifie ta connexion Internet et réessaie.
appLovin_error3_txt	Vérifie ta mémoire disponible et réessaie.
facebook_txt2	A relevé avec brio un DÉFI dans The Battle Cats !
facebook_txt3	Je recommande cette appli !\\n*Code d’invitation\\:「%@」* Tu peux saisir ce code après avoir terminé le niveau 7 \\(Japon\\).\\n%@
facebook_txt4	D’étranges Chats tout mignons se déchaînent dans le jeu à succès The Battle Cats ! 10 000 XP bonus OBTENUS !\\nCode d’invitation Chats haricot : 「%@」\\n* Tu peux saisir ce code après avoir terminé le niveau 7 (Japon).
twitter_txt2	A relevé avec brio un DÉFI dans The Battle Cats !
twitter_txt3	Je recommande cette appli !\n*Code d’invitation :「%@」* Tu peux saisir ce code après avoir terminé le niveau 7 (Japon).
twitter_txt4	D’étranges Chats tout mignons se déchaînent dans le jeu à succès The Battle Cats ! Obtiens un bonus de 10 000 XP en saisissant un code d’invitation !\nCode d’invitation Chats haricot : 「%@」\n* Tu peux saisir ce code après avoir terminé le niveau 7 (Japon).
line_txt1	A gagné avec brio le mode Défi dans The Battle Cats !\\nUne super appli ! Obtiens 10 000 XP avec ton code d’invitation !\\nCode d’invitation : 「%@」* Tu peux saisir ce code après avoir terminé le niveau 7 (Japon).\\n%@
line_txt2	A gagné avec brio le mode Défi dans The Battle Cats !\nUne super appli ! Obtiens 10 000 XP avec ton code d’invitation !\nCode d’invitation : 「%@」* Tu peux saisir ce code après avoir terminé le niveau 7 (Japon).\n%@
line_txt3	Laisse-toi séduire par l’excentricité hilarante de The Battle Cats !\nCode d’invitation Moneko :「%@」* Tu peux saisir ce code après avoir terminé le niveau 7 (Japon).\n%@
line_txt4	Laisse-toi séduire par l’excentricité hilarante de The Battle Cats !\nCode d’invitation Chats haricot :「%@」* Tu peux saisir ce code après avoir terminé le niveau 7 (Japon).\n%@
kakao_txt1	dummy
kakao_txt2	dummy
kakao_txt3	dummy
err_txt1	Activité non autorisée (A) détectée.
err_txt2	Activité non autorisée (B) détectée.
err_txt3	Activité non autorisée (C) détectée.
err_txt4	Activité non autorisée (D) détectée.
err_txt5	Activité non autorisée (E) détectée.
err_txt6	Activité non autorisée (F) détectée.
kerihime_txt1	dummy
kerihime_txt2	dummy
kerihime_txt3	dummy
kerihime_txt4	dummy
kerihime_txt5	dummy
kerihime_txt6	dummy
kerihime_txt7	dummy
kerihime_txt8	dummy
kerihime_txt9	dummy
kerihime_txt11	dummy
kerihime_txt12	dummy
kerihime_txt13	dummy
kerihime_txt21	dummy
kerihime_txt22	dummy
kerihime_txt23	dummy
kerihime_tw49	dummy
kerihime_tw50	dummy
kerihime_fa49	dummy
kerihime_fa50	dummy
manbo_scheme	jp.selectbutton.manbotheworld://collaboration/nyanko1
manbo_url	https://itunes.apple.com/us/app/survive!-mola-mola!/id915222954?l=en&ls=1&mt=8
manbo_txt11	Obtiens des cadeaux spéciaux\nMola Mola en jouant à \n« Survive! Mola Mola! »\nLancer l’appli « Survive!\nMola Mola! » ?
manbo_txt12	Ne pas recevoir\nton cadeau Mola Mola ?\nVraiment ?\n* Pour tenter de le recevoir à nouveau\naprès l’annulation,\ntermine à nouveau ce niveau.
manbo_txt13	Application non détectée.\nTélécharger « Survive! Mola Mola! »\ndans la boutique d’applis ?
manbo_txt14	Obtiens des récompenses spéciales utilisables dans « Survive! Mola Mola! » !
manbo_txt15	Lancer l’appli « Survive! Mola Mola! » ?
manbo_txt16	Si elle n’est pas déjà installée, tu seras redirigé vers la page de la boutique d’applis.
appstore_txt1	Des Chats affreusement mignons ! À la portée de tous !\nIl te suffit de saisir le code d’invitation après avoir terminé le niveau 7 (Japon) pour obtenir un bonus de 10 000 XP !\nCode d’invitation :「%@」\nAttrape tous les Chats !
iosver_error	Merci de mettre ta version iOS à jour.
limited_function	Indisponible actuellement
model_conversion2	Transférer
noapp_kakao	Tu dois installer l’appli de discussion Kakao.
noapp_line	Tu dois installer l’appli de discussion LINE.
store_url	https://itunes.apple.com/us/app/the-battle-cats/id850057092?l=en&ls=1&mt=8
url_abbr	https://ponos.s3.amazonaws.com/iphone/en/battlecats.html
img026.png	img026_fr.png
img026.imgcut	img026_fr.imgcut
img038.png	img038_fr.png
img038.imgcut	img038_fr.imgcut
ec000.png	ec000_fr.png
ec000.imgcut	ec000_fr.imgcut
ec001.png	ec001_fr.png
ec001.imgcut	ec001_fr.imgcut
ec002.png	ec002_fr.png
ec002.imgcut	ec002_fr.imgcut
ec003.png	ec003_fr.png
ec003.imgcut	ec003_fr.imgcut
ec004.png	ec004_fr.png
ec004.imgcut	ec004_fr.imgcut
ec005.png	ec005_fr.png
ec005.imgcut	ec005_fr.imgcut
ec006.png	ec006_fr.png
ec006.imgcut	ec006_fr.imgcut
ec007.png	ec007_fr.png
ec007.imgcut	ec007_fr.imgcut
ec008.png	ec008_fr.png
ec008.imgcut	ec008_fr.imgcut
ec009.png	ec009_fr.png
ec009.imgcut	ec009_fr.imgcut
ec010.png	ec010_fr.png
ec010.imgcut	ec010_fr.imgcut
ec011.png	ec011_fr.png
ec011.imgcut	ec011_fr.imgcut
ec012.png	ec012_fr.png
ec012.imgcut	ec012_fr.imgcut
ec013.png	ec013_fr.png
ec013.imgcut	ec013_fr.imgcut
ec014.png	ec014_fr.png
ec014.imgcut	ec014_fr.imgcut
ec015.png	ec015_fr.png
ec015.imgcut	ec015_fr.imgcut
ec016.png	ec016_fr.png
ec016.imgcut	ec016_fr.imgcut
ec017.png	ec017_fr.png
ec017.imgcut	ec017_fr.imgcut
ec018.png	ec018_fr.png
ec018.imgcut	ec018_fr.imgcut
ec019.png	ec019_fr.png
ec019.imgcut	ec019_fr.imgcut
ec020.png	ec020_fr.png
ec020.imgcut	ec020_fr.imgcut
ec021.png	ec021_fr.png
ec021.imgcut	ec021_fr.imgcut
ec022.png	ec022_fr.png
ec022.imgcut	ec022_fr.imgcut
ec023.png	ec023_fr.png
ec023.imgcut	ec023_fr.imgcut
ec024.png	ec024_fr.png
ec024.imgcut	ec024_fr.imgcut
ec025.png	ec025_fr.png
ec025.imgcut	ec025_fr.imgcut
ec026.png	ec026_fr.png
ec026.imgcut	ec026_fr.imgcut
ec027.png	ec027_fr.png
ec027.imgcut	ec027_fr.imgcut
ec028.png	ec028_fr.png
ec028.imgcut	ec028_fr.imgcut
ec029.png	ec029_fr.png
ec029.imgcut	ec029_fr.imgcut
ec030.png	ec030_fr.png
ec030.imgcut	ec030_fr.imgcut
ec031.png	ec031_fr.png
ec031.imgcut	ec031_fr.imgcut
ec032.png	ec032_fr.png
ec032.imgcut	ec032_fr.imgcut
ec033.png	ec033_fr.png
ec033.imgcut	ec033_fr.imgcut
ec034.png	ec034_fr.png
ec034.imgcut	ec034_fr.imgcut
ec035.png	ec035_fr.png
ec035.imgcut	ec035_fr.imgcut
ec036.png	ec036_fr.png
ec036.imgcut	ec036_fr.imgcut
ec037.png	ec037_fr.png
ec037.imgcut	ec037_fr.imgcut
ec038.png	ec038_fr.png
ec038.imgcut	ec038_fr.imgcut
ec039.png	ec039_fr.png
ec039.imgcut	ec039_fr.imgcut
ec040.png	ec040_fr.png
ec040.imgcut	ec040_fr.imgcut
ec041.png	ec041_fr.png
ec041.imgcut	ec041_fr.imgcut
ec042.png	ec042_fr.png
ec042.imgcut	ec042_fr.imgcut
ec043.png	ec043_fr.png
ec043.imgcut	ec043_fr.imgcut
ec044.png	ec044_fr.png
ec044.imgcut	ec044_fr.imgcut
ec045.png	ec045_fr.png
ec045.imgcut	ec045_fr.imgcut
ec046.png	ec046_fr.png
ec046.imgcut	ec046_fr.imgcut
img007.png	img007_fr.png
img007.imgcut	img007_fr.imgcut
img009_3.png	img009_3_fr.png
img009_3.imgcut	img009_3_fr.imgcut
img009_4.png	img009_4_fr.png
img009_4.imgcut	img009_4_fr.imgcut
img009_5.png	img009_5_fr.png
img009_5.imgcut	img009_5_fr.imgcut
img009_6.png	img009_6_fr.png
img009_6.imgcut	img009_6_fr.imgcut
img013.png	img013_fr.png
img013.imgcut	img013_fr.imgcut
img017.png	img017_fr.png
img017.imgcut	img017_fr.imgcut
img018.png	img018_fr.png
img018.imgcut	img018_fr.imgcut
img030.png	img030_fr.png
img030.imgcut	img030_fr.imgcut
img035.png	img035_fr.png
img035.imgcut	img035_fr.imgcut
img036.png	img036_fr.png
img036.imgcut	img036_fr.imgcut
img050.png	img050_fr.png
img050.imgcut	img050_fr.imgcut
img101.png	img101_fr.png
img101.imgcut	img101_fr.imgcut
img102.png	img102_fr.png
img102.imgcut	img102_fr.imgcut
ot000_c.png	ot000_c_fr.png
ot000_c.imgcut	ot000_c_fr.imgcut
ot000_o.png	ot000_o_fr.png
ot000_o.imgcut	ot000_o_fr.imgcut
ot001_c.png	ot001_c_fr.png
ot001_c.imgcut	ot001_c_fr.imgcut
ot001_o.png	ot001_o_fr.png
ot001_o.imgcut	ot001_o_fr.imgcut
ot002_c.png	ot002_c_fr.png
ot002_c.imgcut	ot002_c_fr.imgcut
ot002_o.png	ot002_o_fr.png
ot002_o.imgcut	ot002_o_fr.imgcut
ot003_c.png	ot003_c_fr.png
ot003_c.imgcut	ot003_c_fr.imgcut
ot003_o.png	ot003_o_fr.png
ot003_o.imgcut	ot003_o_fr.imgcut
ot004_c.png	ot004_c_fr.png
ot004_c.imgcut	ot004_c_fr.imgcut
ot004_o.png	ot004_o_fr.png
ot004_o.imgcut	ot004_o_fr.imgcut
ot005_c.png	ot005_c_fr.png
ot005_c.imgcut	ot005_c_fr.imgcut
ot005_o.png	ot005_o_fr.png
ot005_o.imgcut	ot005_o_fr.imgcut
ot006_c.png	ot006_c_fr.png
ot006_c.imgcut	ot006_c_fr.imgcut
ot006_o.png	ot006_o_fr.png
ot006_o.imgcut	ot006_o_fr.imgcut
ot007_c.png	ot007_c_fr.png
ot007_c.imgcut	ot007_c_fr.imgcut
ot007_o.png	ot007_o_fr.png
ot007_o.imgcut	ot007_o_fr.imgcut
ot008_c.png	ot008_c_fr.png
ot008_c.imgcut	ot008_c_fr.imgcut
ot008_o.png	ot008_o_fr.png
ot008_o.imgcut	ot008_o_fr.imgcut
ot009_c.png	ot009_c_fr.png
ot009_c.imgcut	ot009_c_fr.imgcut
ot009_o.png	ot009_o_fr.png
ot009_o.imgcut	ot009_o_fr.imgcut
ot010_c.png	ot010_c_fr.png
ot010_c.imgcut	ot010_c_fr.imgcut
ot010_o.png	ot010_o_fr.png
ot010_o.imgcut	ot010_o_fr.imgcut
ot011_c.png	ot011_c_fr.png
ot011_c.imgcut	ot011_c_fr.imgcut
000_img013.imgcut	i000_img013_fr.imgcut
terms_network_unavailable	Erreur de connexion.<br>Vérifie ta connexion Internet et réessaie.
item_pack_name_21	Pack de remerciement
item_pack_name_22	En ce moment, achète un ticket platine !
zombie_sns	Mon armée de Chats a sauvé %@ d’une invasion de zombies !%s %s
Invasion_sns	Mon armée de Chats a sauvé la galaxie d’une menace extrêmement puissante ! %s %s
item_pack_name_23	Pack de démarrage
item_pack_name_24	Super pack de démarrage
item_pack_name_25	Maxi pack de démarrage
item_pack_name_26	Promo du vainqueur
talk_002_push	Psst ! Une bonne nouvelle t’attend à la base féline !
equipment_unworn	L’orbe de talent en réserve sera équipé.
equipment_confirm	Équiper ${equipmentName}<br>sur ${characterName} ?<br>${faultMessage}
release_confirm	Utiliser des NP pour ôter <br>%@ ? (%d → <color=255,255,0>%d</color>)<br>Tu peux aussi écraser<br>le talent équipé actuellement.
release_error	Pas assez de NP.<br>%d NP requis.
composition_confirm	Fusionner avec %@ x%d pour<br>améliorer la qualité du talent ? (%@ → <color=255,255,0>%@</color>)
composition_error	%d de cette orbe de talent<br>nécessaire pour fusionner.<br>Il t’en faut %d de plus !
composition_finish	Fusion réussie !<br>Tu as reçu : %@ !
composition_limit	Qualité maximum atteinte.<br>Plus de fusion possible dans la version actuelle.
overwrite_confirm	Écraser l’orbe de talent équipé<br>pour équiper %@ ?<br><color=255,255,0>L’orbe actuel %@ sera détruit !</color>
overwrite_remind	<color=255,255,0>L’orbe actuellement équipé %@<br>sera détruit. Confirmer ?</color>
exchange_all_equip_np	Les orbes en réserve vont être<br>échangés contre des NP.<br>Confirmer ? (%d → <color=255,255,0>%d</color>)
equipment_drop	${rewardName}<br><color=255,255,0>Orbe de talent :</color> ${equipmentName} +${equipmentNum}<br>${itemPossession}
equipment_limit	La réserve d’orbes est pleine.<br>Fusionne ou échange des orbes contre des NP<br>pour faire de la place aux nouveaux orbes.<br>
potential_name	Talent 
potential_storge	%d orbes actuellement en réserve.
slotunlock_medal_txt1	Débloque des conditions inédites !<br>Débloque : %d médailles Miaou
item_pack_name_27	Unité limitée : Chachapsule
unlock_popup_message_79	<flash>Filtre de recommandation débloqué</flash><br>Touche le bouton qui s'affiche dans<br>les niveaux Histoires légendaires/spéciaux pour voir<br>les niveaux non terminés qui correspondent<br>à ton niveau actuel !
filterstage_txt1	Filtre de recommandation<br>Active ce bouton pour afficher uniquement<br>les niveaux non terminés recommandés pour toi.
slotunlock_number_txt1	Emplacement de formation %d débloqué !
scheme_popup_77	<flash>Merci pour tes réponses au sondage !<br>Profite %@%@ !</flash>
zombie_talk_0	Invasion zombie en cours :<br><flash>%s</flash> !
zombie_talk_1	Invasion zombie :<br><flash>%s</flash> !
chapter_name_0	L’empire des Chats ch. 1.
chapter_name_1	L’empire des Chats ch. 2.
chapter_name_2	L’empire des Chats ch. 3.
chapter_name_4	Vers le futur ch. 1.
chapter_name_5	Vers le futur ch. 2.
chapter_name_6	Vers le futur ch. 3.
chapter_name_7	Les Chats du cosmos ch. 1.
unlock_popup_message_80	<flash>Niveau vichamine : "Clionel ascendant" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_81	<flash>Niveau vichamine : "Fleuve Styx" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_82	<flash>Niveau vichamine : "Couronnement de la reine" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_83	<flash>Niveau vichamine : "Mort pour sa première" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_84	<flash>Niveau vichamine : "Revanche du Roi Wahwah" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_85	<flash>Niveau vichamine : "Profonde rêverie" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_86	<flash>Niveau vichamine : "Catastrophe écarlate" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_87	<flash>Niveau vichamine : "Paradis des ténèbres" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_88	<flash>Niveau vichamine : "Sans égal" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_89	<flash>Niveau vichamine : "Colère des cieux" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_90	<flash>Niveau vichamine : "Douce ironie" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_91	<flash>Niveau vichamine : "Dimension désespoir" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_92	<flash>Niveau vichamine : "Chat maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_93	<flash>Niveau vichamine : "Chat tank maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_94	<flash>Niveau vichamine : "Chat borgne maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_95	<flash>Niveau vichamine : "Grand Chat maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_96	<flash>Niveau vichamine : "Chat vache maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_97	<flash>Niveau vichamine : "Chat oiseau maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_98	<flash>Niveau vichamine : "Chat poisson maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_99	<flash>Niveau vichamine : "Chat lézard maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlock_popup_message_100	<flash>Niveau vichamine : "Chat titan maboul" débloqué !</flash><br>※ Utilise la vichamine quand tu le souhaites pour accéder à ce niveau !
unlockpopup_Guide_1	Consulte l’aide pour en savoir plus !
jinja_saisen00	Offrir 100 000 XP pour recevoir<br>des matériaux de construction de base ?
jinja_saisen01	Offrir 1 million d’XP pour recevoir<br>des Chagrumes ?
jinja_saisen02	Offrir 3 millions d’XP pour recevoir<br>des œils-de-chat ?
jinja_saisen03	Offrir 5 millions d’XP pour recevoir<br>une formidable et mystérieuse récompense ?
jinja_lock00	Pas assez d’XP...<br>* Pour en obtenir, termine des niveaux<br>ou achète des packs d’XP à la boutique.
jinja_lock01	La réserve de récompenses est épuisée...
jinja_lock02	Le sanctuaire a disparu dans la brume...
jinja_itemget	Tu as reçu : %@ !
legend_warning	<color=255,255,0>Conditions du défi<br>Termine tous les niveaux couronne de tous les niveaux Histoires légendaires</color>
item_pack_name_28	Acheter l’unité ponctuelle : Œuf de Chat P’tit Clops
jinja_levelup_popup	<flash>Niveau supérieur !</flash><br>Le sanctuaire félin a atteint le niveau %d !<br>
gamatotoReward_1_2	Grande fortune obtenue !
talk_003_push	
jinja_omikuji00	Offrir 5 XP pour une prédiction ?
omikuji_lock00	Pas assez d’XP...<br>* Pour en obtenir, termine des niveaux<br>ou achètes-en à la boutique d’objets.
omikuji_lock01	La boîte à prédictions est vide...
gama_jinja_00_popup	<flash>Gagne des bonus grâce aux prédictions !</flash><br>Le messager de Dieu "Inari" rejoint l'exp. de Gamatoto !<br>Le temps d’une expédition, le butin sera plus important.<br>※ Ne s’applique pas aux récompenses en Miam.
gama_jinja_00_name	Inari
gama_jinja_00_charatext	Sert Dieu fidèlement et aide Gamatoto pour<br>une expédition. Augmente le nombre d’objets récupérés.<br>* Ne s’applique pas aux récompenses en Miam.
item_pack_name_29	Offre limitée : promo Ticket légendaire
omikuji_fortune00	Souhaits : 
omikuji_fortune01	Carrière : 
omikuji_fortune02	Visiteur : 
omikuji_fortune03	Affaires : 
omikuji_fortune04	Objet perdu : 
omikuji_fortune05	Argent : 
omikuji_fortune06	Voyage : 
omikuji_fortune07	Rivalité : 
omikuji_fortune08	Santé : 
omikuji_fortune09	Amour : 
omikuji_outlook	<color=255,255,0>Perspectives : </color>
gatyadata_error_popup	Chapsules non disponibles
htmldata_error_popup	Impossible d’afficher cette page
gama_jinja_00_gohome	L'Inari est revenu au royaume de Dieu.
gama_collabo_03_popup	<flash>Hatsune Miku Collab!</flash><br>Snow Miku's loyal pet "Rabbit Yukine"<br>appears to help the Gamatoto crew!<br>While they are here, Gamatoto rewards increase!<br>※ Cat Food excluded.
gama_collabo_03_name	Rabbit Yukine
gama_collabo_03_charatext	Snow Miku's loyal pet "Rabbit Yukine"<br>appears to help the Gamatoto crew!<br>While they are here, Gamatoto rewards increase!<br>※ Cat Food excluded.
gamestop_device	Ces données de sauvegarde sont actives ailleurs\n et ne sont plus accessibles sur cet appareil. \n Si tu souhaites utiliser cet appareil, réinstalle\n l'appli et recommence le jeu depuis le début.
item_pack_name_32	Offre d'aide : 3 h de Chats fortunés illimités !
item_pack_name_33	Offre d'aide : 3 h de Chats numériques illimités !
item_pack_name_34	Offre d'aide : 3 h de Chats tireurs illimités !
otasuke_sale2	Chats fortunés illimités pendant 3 h !<br>
otasuke_sale3	Chats numériques illimités pendant 3 h !<br>
otasuke_sale5	Chats tireurs illimités pendant 3 h !<br>
GiftMessage_019	<flash>Récompense de niveau terminé 8</flash><br>Termine le dernier niveau de Labyrinthe de l'ancienne forêt<br>pour une petite chance de débloquer<br>l’unité spéciale Doron masque ancestral !
save_failed1	Pas assez d'espace de stockage. Sauvegarde impossible.
save_failed2	Pas assez d'espace de stockage. Sauvegarde impossible.
comeback_stamp_push01	As-tu reçu ton tampon de retour pour aujourd'hui ? Obtiens des tonnes d'XP bonus !
comeback_stamp_push02	Obtiens 3 tickets Chapsule chaque jour avec ta récompense de tampon de retour !
comeback_stamp_push03	As-tu reçu ton tampon de retour pour aujourd'hui ? Obtiens 2 tickets rares avec ton 7e tampon !
item_pack_name_36	Promo d'amélioration : Miam et pack d'objets bronze !
item_pack_name_37	Promo d'amélioration : Miam et pack d'objets argent !
item_pack_name_38	Promo d'amélioration : Miam et pack d'objets or !
item_conversion	%d éclats platine échangés<br>contre <flash>ticket platine x%d</flash>
fragment_message	Échange 10 éclats platine<br>contre 1 ticket platine.<br>Éclats actuels : %d
fragment_bonus	Obtiens un cadeau éclat platine<br>à chaque ouverture de ${gatyaNumber} Chapsules !<br>Échange 10 éclats platine<br>contre un <flash>ticket platine</flash> !
applang	en
equipment_error	Ce talent ne peut être utilisé que si l'unité<br>a déjà la capacité « %@ : %@ ».
scratch_message	Tu as reçu %s x%d !
scratch_SNS_000	J'ai gagné %d Miam dans #BattleCatsScratcher !<br>Essaie une fois par semaine pour tenter de remporter un super prix !<br><br>#TheBattleCats
item_pack_name_39	Pack festif
potential_skill_name57	Cible Aku
assault_skip	【Tu te sens un peu mieux...】<br><flash>Une chance récupérée !</flash><br>Retour à l’écran de choix du niveau.<br><color=255,255,0>Chances disponibles : 1/${countNum} ${assaultWord}</color>
assault_word	(Récupération totale dans ${minutes2} min.)
potential_skill_name58	Perforation de bouclier
potential_skill_name59	Impact spirituel
potential_skill_name60	Malédiction
demon_error_popup	<color=255,255,0>Tu ne peux pas encore accéder à ce niveau.</color>
demon_timelimit	Temps restant : %d:%02d:%02d
sealed_announce	Scellé par le pouvoir de l’Autel Aku<br>Blocage actuel : %d
sealed_release	L’Autel Aku a été détruit et certains niveaux ont été restaurés !<br><flash>Maximum actuel : niveau %d</flash>
sealed_information	Tu ressens le pouvoir de l’Autel Aku<br><color=255,255,0>Maximum actuel : niveau %d</color>
unlock_popup_message_101	<flash>Des Autels Akus apparaissent !</flash><br>Ta recherche d’Akus est terminée et le portail du Royame Aku est ouvert !<br>Depuis L’empire des Chats, pénètre dans ce sombre royaume...
unlock_popup_message_102	<flash>Le prêtre Mamon a été vaincu par l’armée de Chats !</flash><br>Mais cela n’a pas empêché le retour du Seigneur Ruine...
unlock_popup_message_103	<flash>Bonus de niveaux terminés !</flash><br>L'unité spéciale « %@ » a été débloquée !<br>À activer dans le menu Améliorer.
unlock_popup_message_104	<flash>Autel Aku détruit !</flash><br>Tes unités de niveau + ont été restaurées !
demon_return_title	Récompenses non récupérées disponibles !<br>Récupère tes récompenses dans la base féline.<br>En route vers l’écran titre...
demon_return_select	Récompenses non récupérées disponibles !<br>Récupère tes récompenses dans la base féline.<br>En route vers la base féline...
stage_restriction_charagroup_5	Unités de la Chacadémie du cœur
stage_restriction_charagroup_6	Unités insectes « Chats de vacances d’été »
scheme_item_param_87	nyanko9_en1
scheme_popup_87	Battle Cats Quest<br>Collab Mission Reward 1<br><flash>You got %@ x%@!</flash>
scheme_item_param_88	nyanko9_en2
scheme_popup_88	Battle Cats Quest<br>Collab Mission Reward 2<br><flash>You got %@ x%@!</flash>
scheme_item_param_89	nyanko9_en3
scheme_popup_89	Battle Cats Quest<br>Collab Mission Reward 3<br><flash>You got %@ x%@!</flash>
scheme_item_param_90	nyanko9_en4
