item_pack_name_0	Packaktion: Katzenbatzenpaket!
legendquest_tutorial1	Willkommen zu Legenden-Quests!<br>Kämpfe in einem Sonderlevel<br>mit einer zufälligen Katzenauswahl!
legendquest_tutorial2	Um dieses Level zu versuchen, brauchst du Kronen!<br>Hol dir Kronen, indem du Level der Stufe 1-4<br>in Legenden abschließt.
legendquest_tutorial3	Bitte beachte, dass Kronen, Energie und<br>Gegenstände nicht erstattet werden,<br>wenn du in einer Legenden-Quest aus dem Kampf fliehst!
legendquest_Cancel	Aus dem Kampf fliehen?<br><color=255,0,0>Kronen, Energie und Gegenstände werden nicht rückerstattet.</color>
legendquest_warning	Nicht genug Kronen ...<br>Sammle Kronen, indem du<br>Legenden-Kartenlevel abschließt.
legendquest_popup	<flash>Legenden-Quest</flash><br>Stell dich einem zufälligen Level mit einer zufälligen Formation!<br>* Nutze in legendären Leveln verdiente Kronen und Energie, um die Herausforderung zu beginnen.<br>* Bei jedem weiteren Versuch eines Levels kostet der Kampfantritt mehr Kronen.<br>* Kronen, Energie und Gegenstände werden nicht erstattet, wenn du aus dem Kampf fliehst.
score_sns	Meine Kampfkatzen haben bei „%@“ %d Pkt. erreicht! %s %s
legend_sns	Meine Kampfkatzen fallen in die Legenden-Quest „%@“ ein! %s %s
nekodojo_sns	Meine Kampfkatzen haben bei „%@“ im Katzenkrallendojo %d Pkt. erreicht! %s %s
ranking_sns	Meine Kampfkatzen haben bei „%@“ in den Ranglisten-Leveln %d Pkt. erreicht! %s %s
challenge_sns	Meine Kampfkatzen haben bei „%@“ im Herausforderungskampf %d Pkt. erreicht! %s %s
tower_sns	Meine Kampfkatzen haben Ebene %@ des Himmlischen Turms erobert! %s %s
sns_txt1	Meine Kampfkatzen sind in „%@“ eingefallen, um die Welt zu erobern! %s %s
gpp_item_popup	Du hast eine Belohnung erhalten!<br>Hol dir deine Gegenstände aus deinem Briefkasten!
age_confirmation	Aufgrund einer neuen App-Store-Richtlinie<br>musst du dein Geburtsdatum bestätigen,<br>damit dir angemessene Werbung angezeigt wird.
error_age_confirmation	Verbindungsfehler<br>Überprüfe deine Netzwerkverbindung.
restart_item	<flash>Rückkehrpaket gekauft!</flash><br>Katzenimperium Kap. 3 abgeschlossen!<br>13 Katzeneinheiten erhalten!<br>10 Katzentickets erhalten!<br>1 seltenes Ticket erhalten!
restart_overwrite	Rückkehrpaket einsetzen?<br><color=255,0,0>* Beim Einsatz des Rückkehrpakets wird bestehender Spielfortschritt überschrieben.<br>*Wenn du es nicht nutzt, werden gekaufte Inhalte ungültig.</color>
restart_reflect	Gekaufte Inhalte jetzt verfügbar.<br>Katzenimperium wurde abgeschlossen!<br>Kapseltickets erhalten!
slot_message	Du erhältst %s x <flash>%d</flash>!
slot_lastmessage	Endergebnis!
slot_SNS_000	Ich habe %s Katzenbatzen bei den Wildkatzen-Slots in #TheBattleCats gewonnen!<br>#BattleCats
medal_txt1	%s
medal_txt2	%d Medaillen erhalten!
medal_unknown	???<br>???
line_Confirmation	LINIE nicht installiert.<br>App Store besuchen?
talk_Reward	%@ <flash>x %@</flash> erhalten!
talk_000_push	Ich muss dich um einen Gefallen bitten ... (Ф∀Ф)✧
DL_permission	Die aktuellsten Spieldaten werden heruntergeladen.<br>Wir empfehlen, dass du eine stabile<br>WLAN-Verbindung nutzt, wenn du die Installation startest.<br>* Die Sprache kann in den Einstellungen geändert werden.<br>Verbleibendes Downloadvolumen: %s MB
map_minutes	(Erholen ...) Katzamin A x ${itemNum} nutzen,<br>um 1 Abschlusschance aufzufüllen?<br><color=255,255,0>0/${countNum} Abschlusschancen verbleiben. (${minutes1} Min. übrig, bis 1 Abschlusschance aufgefüllt wird)</color>
assault_warning	Nach %d-maligem Abschluss des Levels musst<br>du vor dem Wiederholen kurze Zeit warten.
talk_001_push	Komm morgen wieder!
slot_clearteam_txt_0	Kampfformation des letzten Sieges verwenden?
slot_clearteam_txt_1	Die Katzen des letzten Sieges werden verwendet!
slot_clearteam_txt_2	<flash>Zu Kampfformation des letzten Sieges geändert!</flash>
slot_clearteam_txt_3	„Formation bei letztem Sieg“ nicht in der Teamauswahl anzeigen.
slot_clearteam_error	<color=255,255,0>Keine vorigen Formationen für dieses Level vorhanden.</color>
slot_copy_clearteam	Die Formation des letzten Sieges wird kopiert.<br>Öffne den gewünschten Platz, um dieses Team zu speichern.<br>Wähle dann „Ersetzen“, um dieses Team einzufügen.
slot_paste_clearteam	Deine Katzen werden mit den Katzen des<br>letzten Sieges ersetzt. Okay?
hidden_rarity_0	Minderwertiges Level
hidden_rarity_1	Normales Level
hidden_rarity_2	Ausgezeichnetes Level
drop_popup_hidden	%@ wurde <flash>entdeckt!</flash><br>Enthüllung in der Katzenbasis möglich!
hidden_hour	%d Std. %d Min. bis zur fertigen Entschlüsselung!
hidden_minutes	%d Min. bis zur fertigen Entschlüsselung!
unlock_popup_message_77	<flash>Du kannst jetzt Rätselkarten entschlüsseln!</flash><br>Besuche Legenden, um<br>ab und zu Rätsel zu erbeuten!
unlock_popup_message_78	<flash>Stufenaufstieg!</flash><br>Deine Rätselentschlüsselungsstufe ist jetzt <color=255,255,0>%d</color>!<br>Du kannst jetzt noch seltenere Rätsel finden!
enemy_name_unknown	[Unbekannt]
nyancombo_overwrite_popup_title	Katzenkombo festlegen?
nyancombo_overwrite_popup_description	Tippe auf die Kombo, um den Effekt zu sehen!
000_gatya_rare.png	i000_gatya_rare_de.png
000_gatya_rare.imgcut	000_gatya_rare_de.imgcut
000_gatya.png	i000_gatya_de.png
000_gatya.imgcut	000_gatya_de.imgcut
003_gatya_tuika01.png	003_gatya_tuika01_de.png
003_gatya_tuika01.imgcut	003_gatya_tuika01_de.imgcut
002_bank.png	i002_bank_de.png
002_bank.imgcut	002_bank_de.imgcut
nekodojo_twitter	Meine Kampfkatzen haben im Katzenkrallendojo „%@“ %d Pkt. erreicht! \n %@
nekodojo_facebook	Meine Kampfkatzen haben im Katzenkrallendojo „%@“ %d Pkt. erreicht! \n %@
tower_twitter	Meine Kampfkatzen haben „%@“ im Himmlischem Turm erreicht!
tower_facebook	Meine Kampfkatzen haben „%@“ im Himmlischem Turm erreicht!
facebook_txt1	Meine Kampfkatzen haben %@ erobert!\n%@
twitter_txt1	Meine Kampfkatzen haben %@ erobert!
picBook_getCatFood1	%@ freigeschaltet!
picBook_getCatFood2	Du erhältst 5 Katzenbatzen!
challenge_twitter	Meine Kampfkatzen haben bei „%@“ im Herausforderungskampf %d Pkt. erreicht!
challenge_facebook	Meine Kampfkatzen haben bei „%@“ im Herausforderungskampf %d Pkt. erreicht!\n%@
ranking_twitter	Meine Kampfkatzen haben bei „%@“ in den Ranglisten-Leveln %d Pkt. erreicht! %@
ranking_facebook	Meine Kampfkatzen haben bei „%@“ in den Ranglisten-Leveln %d Pkt. erreicht!\n%@
app_name	The Battle Cats
review1	Wenn dir „The Battle Cats“ gefällt,\nbewerte es bitte! Danke!
review2	Später bewerten
review3	Vielleicht später
review4	Nein danke
appLovin_error0_txt	Kein Video gefunden.
appLovin_error1_txt	Bitte erneut versuchen.
appLovin_error2_txt	Überprüfe deine Netzwerkverbindung und versuche es erneut.
appLovin_error3_txt	Überprüfe deinen freien Speicherplatz und versuche es erneut.
facebook_txt2	Es war nicht leicht, aber ich habe eine HERAUSFORDERUNG in The Battle Cats abgeschlossen!
facebook_txt3	Ich empfehle diese App!\\n*Einladungscode:\\:「%@」*Du kannst den Code nach Level 7 \\(Japan\\) eingeben.\\n%@
facebook_txt4	Seltsam niedliche Katzen sind im Hitspiel „The Battle Cats“ los! 10.000 Bonus-XP ERHALTEN!\\nBohnenkatzen-Einladungscode: 「%@」\\n*Du kannst den Code nach Level 7 (Japan) eingeben.
twitter_txt2	Es war nicht leicht, aber ich habe eine HERAUSFORDERUNG in The Battle Cats abgeschlossen!
twitter_txt3	Ich empfehle diese App!\\n*Einladungscode:「%@」*Du kannst den Code nach Level 7 (Japan) eingeben.
twitter_txt4	Seltsam niedliche Katzen sind im Hitspiel „The Battle Cats“ los! Hol dir 10.000 Bonus-XP mit einem Einladungscode!\\nBohnenkatzen-Einladungscode: 「%@」\n*Du kannst den Code nach Level 7 (Japan) eingeben.
line_txt1	Es war nicht leicht, aber ich habe eine HERAUSFORDERUNG in The Battle Cats abgeschlossen!\\nTolle App! Hol dir 10.000 XP mit einem Einladungscode!\\n*Einladungscode:「%@」*Du kannst den Code nach Level 7 (Japan) eingeben.\\n%@
line_txt2	Es war nicht leicht, aber ich habe eine HERAUSFORDERUNG in The Battle Cats abgeschlossen!\nTolle App! Hol dir 10.000 XP mit einem Einladungscode!\n*Einladungscode:「%@」*Du kannst den Code nach Level 7 (Japan) eingeben.\n%@
line_txt3	Auch du wirst die witzigen Katzen von „The Battle Cats“ lieben!\nMoneko-Einladungscode:「%@」*Du kannst den Code nach Level 7 (Japan) eingeben.\n%@
line_txt4	Auch du wirst die witzigen Katzen von „The Battle Cats“ lieben!\nBohnenkatzen-Einladungscode:「%@」*Du kannst den Code nach Level 7 (Japan) eingeben.\n%@
kakao_txt1	dummy
kakao_txt2	dummy
kakao_txt3	dummy
err_txt1	Nicht autorisierte Handlung (A) entdeckt.
err_txt2	Nicht autorisierte Handlung (B) entdeckt.
err_txt3	Nicht autorisierte Handlung (C) entdeckt.
err_txt4	Nicht autorisierte Handlung (D) entdeckt.
err_txt5	Nicht autorisierte Handlung (E) entdeckt.
err_txt6	Nicht autorisierte Handlung (F) entdeckt.
kerihime_txt1	dummy
kerihime_txt2	dummy
kerihime_txt3	dummy
kerihime_txt4	dummy
kerihime_txt5	dummy
kerihime_txt6	dummy
kerihime_txt7	dummy
kerihime_txt8	dummy
kerihime_txt9	dummy
kerihime_txt11	dummy
kerihime_txt12	dummy
kerihime_txt13	dummy
kerihime_txt21	dummy
kerihime_txt22	dummy
kerihime_txt23	dummy
kerihime_tw49	dummy
kerihime_tw50	dummy
kerihime_fa49	dummy
kerihime_fa50	dummy
manbo_scheme	jp.selectbutton.manbotheworld://collaboration/nyanko1
manbo_url	https://itunes.apple.com/us/app/survive!-mola-mola!/id915222954?l=en&ls=1&mt=8
manbo_txt11	Du erhältst besondere\nMondfisch-Geschenke, wenn du\n„Überlebe! Mondfisch!“ spielst.\nDie App „Überlebe!\nMondfisch!“ starten?
manbo_txt12	Dein Mondfisch-Geschenk\nablehnen?\nBist du sicher?\n*Um das Geschenk erneut\nabzuholen, schließe dieses\nLevel erneut ab.
manbo_txt13	Keine App gefunden.\n„Überlebe! Mondfisch!“ aus dem\nApp Store herunterladen?
manbo_txt14	Hol dir besondere Belohnungen für „Überlebe! Mondfisch!“
manbo_txt15	Die „Überlebe! Mondfisch!“-App starten?
manbo_txt16	Falls sie nicht installiert ist, öffnet sich die App-Store-Seite.
appstore_txt1	Schrecklich niedliche Katzen! Einfach für alle!\nGib nach Abschluss von Level 7 (Japan) den Einladungscode ein, um 10.000 Bonus-XP zu erhalten!\n■Einladungscode:「%@」\nSammeln wir ALLE KATZEN!
iosver_error	Bitte aktualisiere deine iOS-Version.
limited_function	Derzeit nicht verfügbar
model_conversion2	Transfer
noapp_kakao	Du musst die KakaoTalk-App installiert haben.
noapp_line	Du musst die LINE-App installiert haben.
store_url	https://itunes.apple.com/us/app/the-battle-cats/id850057092?l=en&ls=1&mt=8
url_abbr	https://ponos.s3.amazonaws.com/iphone/en/battlecats.html
img026.png	img026_de.png
img026.imgcut	img026_de.imgcut
img038.png	img038_de.png
img038.imgcut	img038_de.imgcut
ec000.png	ec000_de.png
ec000.imgcut	ec000_de.imgcut
ec001.png	ec001_de.png
ec001.imgcut	ec001_de.imgcut
ec002.png	ec002_de.png
ec002.imgcut	ec002_de.imgcut
ec003.png	ec003_de.png
ec003.imgcut	ec003_de.imgcut
ec004.png	ec004_de.png
ec004.imgcut	ec004_de.imgcut
ec005.png	ec005_de.png
ec005.imgcut	ec005_de.imgcut
ec006.png	ec006_de.png
ec006.imgcut	ec006_de.imgcut
ec007.png	ec007_de.png
ec007.imgcut	ec007_de.imgcut
ec008.png	ec008_de.png
ec008.imgcut	ec008_de.imgcut
ec009.png	ec009_de.png
ec009.imgcut	ec009_de.imgcut
ec010.png	ec010_de.png
ec010.imgcut	ec010_de.imgcut
ec011.png	ec011_de.png
ec011.imgcut	ec011_de.imgcut
ec012.png	ec012_de.png
ec012.imgcut	ec012_de.imgcut
ec013.png	ec013_de.png
ec013.imgcut	ec013_de.imgcut
ec014.png	ec014_de.png
ec014.imgcut	ec014_de.imgcut
ec015.png	ec015_de.png
ec015.imgcut	ec015_de.imgcut
ec016.png	ec016_de.png
ec016.imgcut	ec016_de.imgcut
ec017.png	ec017_de.png
ec017.imgcut	ec017_de.imgcut
ec018.png	ec018_de.png
ec018.imgcut	ec018_de.imgcut
ec019.png	ec019_de.png
ec019.imgcut	ec019_de.imgcut
ec020.png	ec020_de.png
ec020.imgcut	ec020_de.imgcut
ec021.png	ec021_de.png
ec021.imgcut	ec021_de.imgcut
ec022.png	ec022_de.png
ec022.imgcut	ec022_de.imgcut
ec023.png	ec023_de.png
ec023.imgcut	ec023_de.imgcut
ec024.png	ec024_de.png
ec024.imgcut	ec024_de.imgcut
ec025.png	ec025_de.png
ec025.imgcut	ec025_de.imgcut
ec026.png	ec026_de.png
ec026.imgcut	ec026_de.imgcut
ec027.png	ec027_de.png
ec027.imgcut	ec027_de.imgcut
ec028.png	ec028_de.png
ec028.imgcut	ec028_de.imgcut
ec029.png	ec029_de.png
ec029.imgcut	ec029_de.imgcut
ec030.png	ec030_de.png
ec030.imgcut	ec030_de.imgcut
ec031.png	ec031_de.png
ec031.imgcut	ec031_de.imgcut
ec032.png	ec032_de.png
ec032.imgcut	ec032_de.imgcut
ec033.png	ec033_de.png
ec033.imgcut	ec033_de.imgcut
ec034.png	ec034_de.png
ec034.imgcut	ec034_de.imgcut
ec035.png	ec035_de.png
ec035.imgcut	ec035_de.imgcut
ec036.png	ec036_de.png
ec036.imgcut	ec036_de.imgcut
ec037.png	ec037_de.png
ec037.imgcut	ec037_de.imgcut
ec038.png	ec038_de.png
ec038.imgcut	ec038_de.imgcut
ec039.png	ec039_de.png
ec039.imgcut	ec039_de.imgcut
ec040.png	ec040_de.png
ec040.imgcut	ec040_de.imgcut
ec041.png	ec041_de.png
ec041.imgcut	ec041_de.imgcut
ec042.png	ec042_de.png
ec042.imgcut	ec042_de.imgcut
ec043.png	ec043_de.png
ec043.imgcut	ec043_de.imgcut
ec044.png	ec044_de.png
ec044.imgcut	ec044_de.imgcut
ec045.png	ec045_de.png
ec045.imgcut	ec045_de.imgcut
ec046.png	ec046_de.png
ec046.imgcut	ec046_de.imgcut
img007.png	img007_de.png
img007.imgcut	img007_de.imgcut
img009_3.png	img009_3_de.png
img009_3.imgcut	img009_3_de.imgcut
img009_4.png	img009_4_de.png
img009_4.imgcut	img009_4_de.imgcut
img009_5.png	img009_5_de.png
img009_5.imgcut	img009_5_de.imgcut
img009_6.png	img009_6_de.png
img009_6.imgcut	img009_6_de.imgcut
img013.png	img013_de.png
img013.imgcut	img013_de.imgcut
img017.png	img017_de.png
img017.imgcut	img017_de.imgcut
img018.png	img018_de.png
img018.imgcut	img018_de.imgcut
img030.png	img030_de.png
img030.imgcut	img030_de.imgcut
img035.png	img035_de.png
img035.imgcut	img035_de.imgcut
img036.png	img036_de.png
img036.imgcut	img036_de.imgcut
img050.png	img050_de.png
img050.imgcut	img050_de.imgcut
img101.png	img101_de.png
img101.imgcut	img101_de.imgcut
img102.png	img102_de.png
img102.imgcut	img102_de.imgcut
ot000_c.png	ot000_c_de.png
ot000_c.imgcut	ot000_c_de.imgcut
ot000_o.png	ot000_o_de.png
ot000_o.imgcut	ot000_o_de.imgcut
ot001_c.png	ot001_c_de.png
ot001_c.imgcut	ot001_c_de.imgcut
ot001_o.png	ot001_o_de.png
ot001_o.imgcut	ot001_o_de.imgcut
ot002_c.png	ot002_c_de.png
ot002_c.imgcut	ot002_c_de.imgcut
ot002_o.png	ot002_o_de.png
ot002_o.imgcut	ot002_o_de.imgcut
ot003_c.png	ot003_c_de.png
ot003_c.imgcut	ot003_c_de.imgcut
ot003_o.png	ot003_o_de.png
ot003_o.imgcut	ot003_o_de.imgcut
ot004_c.png	ot004_c_de.png
ot004_c.imgcut	ot004_c_de.imgcut
ot004_o.png	ot004_o_de.png
ot004_o.imgcut	ot004_o_de.imgcut
ot005_c.png	ot005_c_de.png
ot005_c.imgcut	ot005_c_de.imgcut
ot005_o.png	ot005_o_de.png
ot005_o.imgcut	ot005_o_de.imgcut
ot006_c.png	ot006_c_de.png
ot006_c.imgcut	ot006_c_de.imgcut
ot006_o.png	ot006_o_de.png
ot006_o.imgcut	ot006_o_de.imgcut
ot007_c.png	ot007_c_de.png
ot007_c.imgcut	ot007_c_de.imgcut
ot007_o.png	ot007_o_de.png
ot007_o.imgcut	ot007_o_de.imgcut
ot008_c.png	ot008_c_de.png
ot008_c.imgcut	ot008_c_de.imgcut
ot008_o.png	ot008_o_de.png
ot008_o.imgcut	ot008_o_de.imgcut
ot009_c.png	ot009_c_de.png
ot009_c.imgcut	ot009_c_de.imgcut
ot009_o.png	ot009_o_de.png
ot009_o.imgcut	ot009_o_de.imgcut
ot010_c.png	ot010_c_de.png
ot010_c.imgcut	ot010_c_de.imgcut
ot010_o.png	ot010_o_de.png
ot010_o.imgcut	ot010_o_de.imgcut
ot011_c.png	ot011_c_de.png
ot011_c.imgcut	ot011_c_de.imgcut
000_img013.imgcut	i000_img013_de.imgcut
terms_network_unavailable	Verbindungsfehler<br>Überprüfe deine Netzwerkverbindung und versuche es erneut.
item_pack_name_21	Dankeschönpaket
item_pack_name_22	Nur jetzt: Kaufe ein Platinticket!
zombie_sns	Meine Katzenarmee hat %@ vor einer Zombieinvasion bewahrt! %s %s
Invasion_sns	Meine Katzenarmee hat die Galaxis vor dem Angriff einer allmächtigen Bedrohung bewahrt! %s %s
item_pack_name_23	Startpaket
item_pack_name_24	Super-Startpaket
item_pack_name_25	Mega-Startpaket
item_pack_name_26	Angebot für Champions
talk_002_push	Pssst! Komm zur Katzenbasis, wir haben Neuigkeiten für dich!
equipment_unworn	Talentkugeln im Lager werden nicht angelegt.
equipment_confirm	„${equipmentName}“<br>bei „${characterName}“ ausrüsten?<br>${faultMessage}
release_confirm	Mit NP %@<br>ablegen? (%d → <color=255,255,0>%d</color>)<br>Du kannst das aktuell angelegte Talent auch<br>überschreiben.
release_error	Nicht genug NP.<br>%d NP nötig.
composition_confirm	Mit %@ x%d verschmelzen,<br>um Talentstufe zu erhöhen? (%@ → <color=255,255,0>%@</color>)
composition_error	Talentkugel x%d zum Verschmelzen nötig.<br>%d fehlen!
composition_finish	Verschmelzen erfolgreich!<br>Du erhältst %@!
composition_limit	Höchststufe erreicht.<br>In dieser Spielversion ist kein Verschmelzen mehr möglich.
overwrite_confirm	Angelegte Talentkugel überschreiben,<br>um %@ anzulegen?<br><color=255,255,0>Die aktuelle Kugel „%@“ wird dabei zerstört!</color>
overwrite_remind	<color=255,255,0>Die derzeit angelegte Kugel „%@“<br>wird zerstört. Bist du sicher?</color>
exchange_all_equip_np	Kugeln im Lager werden gegen NP eingetauscht.<br>Bist du sicher? (%d→<color=255,255,0>%d</color>)
equipment_drop	${rewardName}<br><color=255,255,0>Talentkugel:</color> ${equipmentName} +${equipmentNum}<br>${itemPossession}
equipment_limit	Das Talentkugellager ist voll.<br>Verschmelze sie oder tausche sie gegen NP ein,<br>um Platz für neue Kugeln zu machen.<br>
potential_name	Talent 
potential_storge	Derzeit hast du %d Kugeln auf Lager.
slotunlock_medal_txt1	Freischaltungsanforderungen noch nicht erfüllt!<br>Freischaltungsanforderung: %d Miaumedaillen
item_pack_name_27	Limitierte Einheit: Gacha-Katze
unlock_popup_message_79	<flash>Empfohlen-Filter freigeschaltet</flash><br>Tippe auf den Schalter unter<br>Legenden/Sonderlevel, um nicht abgeschlossene<br>Level anzuzeigen, die deinem<br>aktuellen Level entsprechen!
filterstage_txt1	Empfohlen-Filter<br>Wenn du den Schalter aktivierst, werden nur empfohlene,<br>nicht abgeschlossene Karten angezeigt.
slotunlock_number_txt1	Kampfformationsplatz %d freigeschaltet!
scheme_popup_77	<flash>Vielen Dank für deine Antworten!<br>Viel Spaß mit: %@%@!</flash>
zombie_talk_0	Zombieausbruch jetzt hier:<br><flash>%s</flash>!
zombie_talk_1	Zombieausbruch in<br><flash>%s</flash>!
chapter_name_0	Katzenimperium Kapitel 1
chapter_name_1	Katzenimperium Kapitel 2
chapter_name_2	Katzenimperium Kapitel 3
chapter_name_4	Zukunftsreise Kapitel 1
chapter_name_5	Zukunftsreise Kapitel 2
chapter_name_6	Zukunftsreise Kapitel 3
chapter_name_7	Kosmische Katzen, Kapitel 1
unlock_popup_message_80	<flash>Katzaminlevel: „Aufsteigender Clionel“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_81	<flash>Katzaminlevel: „Fluss Styx“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_82	<flash>Katzaminlevel: „Krönung der Königin“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_83	<flash>Katzaminlevel: „Tödliches Debüt“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_84	<flash>Katzaminlevel: „König Wahwahs Rache“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_85	<flash>Katzaminlevel: „Tiefschlaf“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_86	<flash>Katzaminlevel: „Blutrote Katastrophe“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_87	<flash>Katzaminlevel: „Himmel der Dunkelheit“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_88	<flash>Katzaminlevel: „Unvergleichlich“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_89	<flash>Katzaminlevel: „Zorn des Himmels“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_90	<flash>Katzaminlevel: „Süße Ironie“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_91	<flash>Katzaminlevel: „Dimension der Verzweiflung“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_92	<flash>Katzaminlevel: „Die verrückte Katze“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_93	<flash>Katzaminlevel: „Der verrückte Panzer“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_94	<flash>Katzaminlevel: „Die verrückte Axt“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_95	<flash>Katzaminlevel: „Die verrückten Stelzen“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_96	<flash>Katzaminlevel: „Die verrückte Kuh“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_97	<flash>Katzaminlevel: „Der verrückte Vogel“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_98	<flash>Katzaminlevel: „Der verrückte Fisch“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_99	<flash>Katzaminlevel: „Die verrückte Echse“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlock_popup_message_100	<flash>Katzaminlevel: „Der verrückte Titan“ freigeschaltet!</flash><br>* Setze zu einem beliebigen Zeitpunkt Katzamine ein, um dieses Level zu versuchen!
unlockpopup_Guide_1	Weitere Informationen findest du im Hilfe-Menü!
jinja_saisen00	100.000 XP opfern, um mit<br>Basis-Baumaterial gesegnet zu werden?
jinja_saisen01	1 Million XP opfern, um mit<br>Katzenfrucht gesegnet zu werden?
jinja_saisen02	3 Millionen XP opfern, um mit<br>Katzenaugen gesegnet zu werden?
jinja_saisen03	5 Millionen XP opfern, um mit<br>einer herrlichen Überraschungsbelohnung gesegnet zu werden?
jinja_lock00	Nicht genug XP ...<br>* Hol dir mehr XP, in dem du Level abschließt<br>oder im Shop XP-Pakete kaufst.
jinja_lock01	Der Belohnungsvorrat ist erschöpft ...
jinja_lock02	Der Schrein ist in den Nebeln verschwunden ...
jinja_itemget	Du hast „%@“ erhalten!
legend_warning	<color=255,255,0>Herausforderungs-Voraussetzung<br>Schließe alle Kronen-Level aller Stufen der legendären Level ab.</color>
item_pack_name_28	Limitierte Einheit kaufen: „Kleines Zyklopenkatzenei“
jinja_levelup_popup	<flash>Stufe+!</flash><br>Der Katzenschrein hat Stufe %d erreicht!<br>
gamatotoReward_1_2	Große Wahrsagung erhalten!
talk_003_push	
jinja_omikuji00	5 XP opfern, um einen Wahrsagezettel zu ziehen?
omikuji_lock00	Nicht genug XP...<br>* Schließe Level ab, um mehr zu sammeln,<br>oder kaufe im Gegenstände-Shop mehr.
omikuji_lock01	Die Wahrsagezettel-Kiste ist leer ...
gama_jinja_00_popup	<flash>Verdiene Boni mit Wahrsagezetteln!</flash><br>„Inari“, Diener Gottes, ist nun Teil des Gamatoto-Trupps!<br>Erhöhte Gegenstandsbelohnungen für eine Expedition.<br>* Gilt nicht für Katzenbatzen-Belohnungen.
gama_jinja_00_name	Inari
gama_jinja_00_charatext	Treuer Diener Gottes, der Gamatoto zeitweise hilft!<br>Erhöhte Gegenstandsbelohnungen für eine Expedition!<br>* Gilt nicht für Katzenbatzen-Belohnungen.
item_pack_name_29	Limit. Angebot: Legenden-Ticket im Angebot
omikuji_fortune00	Wünsche: 
omikuji_fortune01	Karriere: 
omikuji_fortune02	Besucher: 
omikuji_fortune03	Geschäft: 
omikuji_fortune04	Verlorener Gegenstand: 
omikuji_fortune05	Geld: 
omikuji_fortune06	Reisen: 
omikuji_fortune07	Rivalitäten: 
omikuji_fortune08	Gesundheit: 
omikuji_fortune09	Liebe: 
omikuji_outlook	<color=255,255,0>Blick in die Zukunft: </color>
gatyadata_error_popup	Kapseln nicht verfügbar.
htmldata_error_popup	Seite kann nicht angezeigt werden.
gama_jinja_00_gohome	Inari ist in das Reich des Katzengottes zurückgekehrt.
gama_collabo_03_popup	<flash>Hatsune Miku Collab!</flash><br>Snow Miku's loyal pet "Rabbit Yukine"<br>appears to help the Gamatoto crew!<br>While they are here, Gamatoto rewards increase!<br>※ Cat Food excluded.
gama_collabo_03_name	Rabbit Yukine
gama_collabo_03_charatext	Snow Miku's loyal pet "Rabbit Yukine"<br>appears to help the Gamatoto crew!<br>While they are here, Gamatoto rewards increase!<br>※ Cat Food excluded.
